article,method,our,our_rangeminus,our_rangeplus,depth,depth_range,water_mass,latitude,longitude,ocean
Broecker et al. (1991),O2 + 14C,0.12,-9999,-9999,3605,-9999,Bathypelagic,5,-30,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,8.7,0.3,0.3,116,-9999,SACW-E18,-1.5,7.53,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,7.3,0.01,0.01,116,-9999,SACW-E18,-1.5,7.53,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,7.5,0.4,0.4,116,-9999,SACW-E18,-1.5,7.53,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,10,0.7,0.7,327,-9999,SACW-E12,-4.73,7.95,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,7.3,0.01,0.01,327,-9999,SACW-E12,-4.73,7.95,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,7.8,0.7,0.7,327,-9999,SACW-E12,-4.73,7.95,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,17.5,1.0,1.0,187,-9999,SACW-T18,-28.81,9,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,8.13,0.03,0.03,187,-9999,SACW-T18,-28.81,9,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,13.5,1.6,1.6,187,-9999,SACW-T18,-28.81,9,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,10.4,0.7,0.7,379,-9999,SACW-T12,-30.4,9,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,8.23,0.08,0.08,379,-9999,SACW-T12,-30.4,9,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,12.1,0.9,0.9,379,-9999,SACW-T12,-30.4,9,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,5,0.1,0.1,863,-9999,AAIW,-25.85,8.75,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,3.27,0.05,0.05,863,-9999,AAIW,-25.85,8.75,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,6.3,0.2,0.2,863,-9999,AAIW,-25.85,8.75,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,6.5,1.3,1.3,166,-9999,STMW18,-23.98,-38.6,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,8.3,0.2,0.2,166,-9999,STMW18,-23.98,-38.6,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,10.7,0.8,0.8,166,-9999,STMW18,-23.98,-38.6,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,6.7,0.6,0.6,379,-9999,SACW-T18,-14.18,-37.72,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,8.1,0.2,0.2,379,-9999,SACW-T18,-14.18,-37.72,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,8.5,0.8,0.8,379,-9999,SACW-T18,-14.18,-37.72,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,6.3,0.4,0.4,159,-9999,EQ13,-22.96,-35.44,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,7.4,0.2,0.2,159,-9999,EQ13,-22.96,-35.44,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,10.1,0.9,0.9,159,-9999,EQ13,-22.96,-35.44,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,4.5,0.1,0.1,816,-9999,AAIW,-25.9,-41.61,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,3.5,0.1,0.1,816,-9999,AAIW,-25.9,-41.61,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,5,0.1,0.1,816,-9999,AAIW,-25.9,-41.61,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,10,-9999,-9999,200,-9999,-9999,31.7,-64.2,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,8.7,-9999,-9999,250,-9999,-9999,31.7,-64.2,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,8.2,-9999,-9999,300,-9999,-9999,31.7,-64.2,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,7.65,-9999,-9999,400,-9999,-9999,31.7,-64.2,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,6.5,-9999,-9999,500,-9999,-9999,31.7,-64.2,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,5.45,-9999,-9999,600,-9999,-9999,31.7,-64.2,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,4.15,-9999,-9999,700,-9999,-9999,31.7,-64.2,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,3,-9999,-9999,800,-9999,-9999,31.7,-64.2,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,1.95,-9999,-9999,900,-9999,-9999,31.7,-64.2,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,1.95,-9999,-9999,1000,-9999,-9999,31.7,-64.2,Atlantic
Sonnerup et al. (2013),O2 + CFC11 + SF6 + TTD,10.8,6.2,6.2,164,42,25.0-25.5,28.5,-152,Pacific
Sonnerup et al. (2013),O2 + CFC11 + SF6 + TTD,8.3,1.9,1.9,214,56,25.5-26.0,28.5,-152,Pacific
Sonnerup et al. (2013),O2 + CFC11 + SF6 + TTD,3.6,1.9,1.9,281,54,26.0-26.2,28.5,-152,Pacific
Sonnerup et al. (2013),O2 + CFC11 + SF6 + TTD,4.3,0.5,0.5,353,43,26.2-26.4,28.5,-152,Pacific
Sonnerup et al. (2013),O2 + CFC11 + SF6 + TTD,3.3,0.3,0.3,435,34,26.4-26.6,28.5,-152,Pacific
Sonnerup et al. (2013),O2 + CFC11 + SF6 + TTD,3.1,0.5,0.5,507,53,26.6-26.8,28.5,-152,Pacific
Sonnerup et al. (2013),O2 + CFC11 + SF6 + TTD,0.12,0.05,0.05,598,61,26.8-27.0,28.5,-152,Pacific
Sonnerup et al. (2015),O2 + CFC11 + CFC12 + SF6 + TTD,6.4,1.5,1.5,175,55,25.5-26.0,-36,-103,Pacific
Sonnerup et al. (2015),O2 + CFC11 + CFC12 + SF6 + TTD,3.1,0.4,0.4,220,100,26.0-26.5,-36,-103,Pacific
Sonnerup et al. (2015),O2 + CFC11 + CFC12 + SF6 + TTD,2.7,0.2,0.2,275,105,26.5-26.8,-36,-103,Pacific
Sonnerup et al. (2015),O2 + CFC11 + CFC12 + SF6 + TTD,2.3,0.2,0.2,340,90,26.8-26.9,-36,-103,Pacific
Sonnerup et al. (2015),O2 + CFC11 + CFC12 + SF6 + TTD,1.7,0.3,0.3,440,120,26.9-27.0,-36,-103,Pacific
Sonnerup et al. (2015),O2 + CFC11 + CFC12 + SF6 + TTD,1.3,0.2,0.2,690,100,27.0-27.1,-36,-103,Pacific
Sonnerup et al. (2015),O2 + CFC11 + CFC12 + SF6 + TTD,0.8,0.4,0.4,895,65,27.1-27.2,-36,-103,Pacific
Sonnerup et al. (2015),O2 + CFC11 + CFC12 + SF6 + TTD,16.6,2.7,2.7,155,35,26.5-26.8,-48.5,-103,Pacific
Sonnerup et al. (2015),O2 + CFC11 + CFC12 + SF6 + TTD,4.3,1.4,1.4,250,80,26.8-26.9,-48.5,-103,Pacific
Sonnerup et al. (2015),O2 + CFC11 + CFC12 + SF6 + TTD,1,0.1,0.1,410,180,26.9-27.0,-48.5,-103,Pacific
Sonnerup et al. (2015),O2 + CFC11 + CFC12 + SF6 + TTD,0.8,0.1,0.1,665,125,27.0-27.1,-48.5,-103,Pacific
Sonnerup et al. (2015),O2 + CFC11 + CFC12 + SF6 + TTD,0.01,0.01,0.01,850,110,27.1-27.2,-48.5,-103,Pacific
Roether & Well (2001),O2 + CFC12 + T/3He + model,10.08777778,-9999,-9999,150,-9999,-9999,35,23,Mediterranean
Roether & Well (2001),O2 + CFC12 + T/3He + model,5.81,-9999,-9999,200,-9999,-9999,35,23,Mediterranean
Roether & Well (2001),O2 + CFC12 + T/3He + model,2.754444444,-9999,-9999,300,-9999,-9999,35,23,Mediterranean
Roether & Well (2001),O2 + CFC12 + T/3He + model,1.685,-9999,-9999,400,-9999,-9999,35,23,Mediterranean
Roether & Well (2001),O2 + CFC12 + T/3He + model,1.19,-9999,-9999,500,-9999,-9999,35,23,Mediterranean
Roether & Well (2001),O2 + CFC12 + T/3He + model,0.921111111,-9999,-9999,600,-9999,-9999,35,23,Mediterranean
Roether & Well (2001),O2 + CFC12 + T/3He + model,0.758979592,-9999,-9999,700,-9999,-9999,35,23,Mediterranean
Roether & Well (2001),O2 + CFC12 + T/3He + model,0.65375,-9999,-9999,800,-9999,-9999,35,23,Mediterranean
Roether & Well (2001),O2 + CFC12 + T/3He + model,0.581604938,-9999,-9999,900,-9999,-9999,35,23,Mediterranean
Roether & Well (2001),O2 + CFC12 + T/3He + model,0.53,-9999,-9999,1000,-9999,-9999,35,23,Mediterranean
Catala et al. (2015),O2 + TTD,4,2,2,264,20,EDW,24.5,-37.2,Atlantic
Catala et al. (2015),O2 + TTD,1.1,0.2,0.2,641,40,ENACW12,24.8,-34.1,Atlantic
Catala et al. (2015),O2 + TTD,2.3,0.9,0.9,327,25,ENACW15,25.9,-31.4,Atlantic
Catala et al. (2015),O2 + TTD,0.5,0.1,0.1,427,37,13EqAtl,-27.4,-12.7,Atlantic
Catala et al. (2015),O2 + TTD,1.1,0.3,0.3,303,26,SACW12,-12,-22.7,Atlantic
Catala et al. (2015),O2 + TTD,2,1,1,211,11,SACW18,-23.3,-21.7,Atlantic
Catala et al. (2015),O2 + TTD,2,2,2,259,35,STMWI,-31.9,62.6,Indian
Catala et al. (2015),O2 + TTD,0.6,0.2,0.2,395,28,ICW13,-32.5,85.4,Indian
Catala et al. (2015),O2 + TTD,0.9,1,1,269,26,STMWSP,-18.1,-175.7,Pacific
Catala et al. (2015),O2 + TTD,2,1,1,277,84,SPCW20,-34.1,176,Pacific
Catala et al. (2015),O2 + TTD,0.53,0.07,0.07,483,35,13EqPac,6.5,-133.2,Pacific
Catala et al. (2015),O2 + TTD,0.9,0.09,0.09,253,13,CMWNP,12.8,-120.5,Pacific
Catala et al. (2015),O2 + TTD,0.8,0.3,0.3,207,36,STMWNP,13.8,-160.4,Pacific
Catala et al. (2015),O2 + TTD,0.6,0.3,0.3,1276,354,MW,30.9,-19.7,Atlantic
Catala et al. (2015),O2 + TTD,0.33,0.07,0.07,719,42,SAMW,-32.2,74.2,Indian
Catala et al. (2015),O2 + TTD,0.56,0.07,0.07,1317,108,AAIW5.0,-10.6,-26.3,Atlantic
Catala et al. (2015),O2 + TTD,0.27,0.04,0.04,677,36,AAIW3.1,-26.3,5.2,Atlantic
Catala et al. (2015),O2 + TTD,0.45,0.04,0.04,671,65,NPIW,12.2,-132,Pacific
Catala et al. (2015),O2 + TTD,0.22,0.01,0.01,2412,76,CDW,-10.8,-37,Atlantic
Catala et al. (2015),O2 + TTD,0.19,0.01,0.01,3279,66,NADW2.0,-3.2,-9.5,Atlantic
Catala et al. (2015),O2 + TTD,0.37,0.03,0.03,1582,99,NADW4.6,3.1,-28.2,Atlantic
Catala et al. (2015),O2 + TTD,0.2,0.02,0.02,3780,3780,AABW,-18.2,5,Atlantic
Cornejo D'Ottone et al. (2016),O2,15.63777994,-9999,-9999,400,-9999,26.5-27.0,-30,-81,Pacific
Aristegui et al. (2005),O2 (incubations),124.3914314,28.43232717,-9999,600,-9999,-9999,23.5,-20,Atlantic
Aristegui et al. (2005),O2 ,28.43232717,10.66212269,-9999,1000,-9999,-9999,23.5,-20,Atlantic
Doney & Bullister (1992),O2 + CFC11 + CFC12,8.3,1.4,1.4,-9999,-9999,26.0,-30,-25,Atlantic
Doney & Bullister (1992),O2 + CFC11 + CFC12,8.8,1.6,1.6,-9999,-9999,26.2,-30,-25,Atlantic
Doney & Bullister (1992),O2 + CFC11 + CFC12,8.9,1.5,1.5,-9999,-9999,26.4,-30,-25,Atlantic
Doney & Bullister (1992),O2 + CFC11 + CFC12,8,1.8,1.8,-9999,-9999,26.6,-30,-25,Atlantic
Doney & Bullister (1992),O2 + CFC11 + CFC12,7,1.4,1.4,-9999,-9999,26.8,-30,-25,Atlantic
Doney & Bullister (1992),O2 + CFC11 + CFC12,5.8,0.8,0.8,-9999,-9999,27.0,-30,-25,Atlantic
Doney & Bullister (1992),O2 + CFC11 + CFC12,5.5,0.7,0.7,-9999,-9999,27.2,-30,-25,Atlantic
Doney & Bullister (1992),O2 + CFC11 + CFC12,5.1,1.0,1.0,-9999,-9999,27.4,-30,-25,Atlantic
Feely et al. (2004),O2 + CFC12 + 14C,4.1,4.08,5.2,550,350,PSUW,52,-172,Pacific
Feely et al. (2004),O2 + CFC12 + 14C,3.4,3.37,1.8,500,300,ENPTW,28,-121,Pacific
Feely et al. (2004),O2 + CFC12 + 14C,4.5,4.43,1.3,650,450,WNPCW,31,161,Pacific
Feely et al. (2004),O2 + CFC12 + 14C,3.7,3.64,2.1,450,250,ENPCW,26,-140,Pacific
Feely et al. (2004),O2 + CFC12 + 14C,4.6,4.48,4.7,450,250,PEW,0,150,Pacific
Feely et al. (2004),O2 + CFC12 + 14C,4.3,4.17,2.2,550,350,ESPTW,-24,-98,Pacific
Feely et al. (2004),O2 + CFC12 + 14C,2.1,2.03,2.7,600,400,WSPCW,-14,175,Pacific
Feely et al. (2004),O2 + CFC12 + 14C,3.5,3.3,3.2,650,450,ESPCW,-17,-121,Pacific
Feely et al. (2004),O2 + CFC12 + 14C,2.1,1.98,2.8,800,600,SSW,-42,-150,Pacific
Feely et al. (2004),O2 + CFC12 + 14C,3,2.96,0.9,1000,800,ASW,-62,-179,Pacific
Feely et al. (2004),O2 + CFC12 + 14C,0.1,-9999,-9999,1500,-9999,PDW,0,180,Pacific
Zheng et al. (1997),O2 + T/3He,6.2,1.5,1.5,24.1,10.4,27.50,82,31,Arctic
Zheng et al. (1997),O2 + T/3He,4.8,0.9,0.9,32.3,10.6,27.55,82,31,Arctic
Zheng et al. (1997),O2 + T/3He,7.4,0.7,0.7,34.7,5.9,27.60,82,31,Arctic
Zheng et al. (1997),O2 + T/3He,7.4,1.1,1.1,40.2,8.1,27.65,82,31,Arctic
Zheng et al. (1997),O2 + T/3He,6.6,2.8,2.8,47.7,16.4,27.70,82,31,Arctic
Zheng et al. (1997),O2 + T/3He,5.9,3.1,3.1,54.5,21.9,27.75,82,31,Arctic
Zheng et al. (1997),O2 + T/3He,5,2.3,2.3,65.7,25.4,27.80,82,31,Arctic
Zheng et al. (1997),O2 + T/3He,4.4,2.5,2.5,80.6,27,27.85,82,31,Arctic
Zheng et al. (1997),O2 + T/3He,4.6,1.1,1.1,120,48.9,27.90,82,31,Arctic
Zheng et al. (1997),O2 + T/3He,3.1,1.1,1.1,233.3,59.1,27.95,82,31,Arctic
Zheng et al. (1997),O2 + T/3He,1.9,0.2,0.2,484.5,69.9,28.00,82,31,Arctic
Zheng et al. (1997),O2 + T/3He,4.7,0.6,0.6,121.5,17.7,27.55,85,25,Arctic
Zheng et al. (1997),O2 + T/3He,1.5,0.5,0.5,146.7,9.2,27.60,85,25,Arctic
Zheng et al. (1997),O2 + T/3He,1.6,0.5,0.5,156.5,18.4,27.65,85,25,Arctic
Zheng et al. (1997),O2 + T/3He,0.5,0.6,0.6,171.1,19.4,27.70,85,25,Arctic
Zheng et al. (1997),O2 + T/3He,0.3,0.3,0.3,187.3,21.6,27.75,85,25,Arctic
Fiedler et al. (2016),O2,87.6,7.3,7.3,100,-9999,26.35,18.8,-24.5,Atlantic
Hahm & Kim (2008),O2 + T/3He,6.4,1.1,1.1,595,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,4,0.4,0.4,790,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,3.8,0.2,0.2,985,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,4.4,0.5,0.5,1380,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,3.5,0.3,0.3,1575,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,13.1,2.3,2.3,595,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,7.1,0.7,0.7,790,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,6.4,0.4,0.4,985,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,6.6,0.6,0.6,1380,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,5.3,0.5,0.5,1575,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,19.8,3.5,3.5,595,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,10.1,0.9,0.9,790,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,9.1,0.6,0.6,985,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,8.9,0.9,0.9,1380,-9999,-9999,40,132,Pacific
Hahm & Kim (2008),O2 + T/3He,7.1,0.7,0.7,1575,-9999,-9999,40,132,Pacific
Jenkins (1977),O2 + T/3He,8.689958362,0.868995836,0.868995836,-9999,-9999,STMW (26.5),34.5,-67.5,Atlantic
Jenkins (1980),O2 + T/3He,22.76769091,-9999,-9999,100,-9999,26.30,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,21.72489591,-9999,-9999,290,-9999,26.40,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,4.388428973,-9999,-9999,390,-9999,26.50,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,4.08428043,-9999,-9999,470,-9999,26.60,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,4.649127724,-9999,-9999,530,-9999,26.70,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,3.780131887,-9999,-9999,600,-9999,26.80,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,3.475983345,-9999,-9999,660,-9999,26.90,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,2.998035635,-9999,-9999,705,-9999,27.00,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,2.433188341,-9999,-9999,750,-9999,27.10,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,2.215939382,-9999,-9999,800,-9999,27.20,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,1.955240631,-9999,-9999,860,-9999,27.30,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,1.694541881,-9999,-9999,910,-9999,27.40,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,1.477292922,-9999,-9999,965,-9999,27.50,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,1.520742713,-9999,-9999,990,-9999,27.55,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,1.564192505,-9999,-9999,1020,-9999,27.60,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,1.520742713,-9999,-9999,1050,-9999,27.65,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,1.390393338,-9999,-9999,1140,-9999,27.70,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,1.173144379,-9999,-9999,1240,-9999,27.75,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,1.042795003,-9999,-9999,1330,-9999,27.78,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,0.782096253,-9999,-9999,1450,-9999,27.80,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,0.521397502,-9999,-9999,1600,-9999,27.81,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,0.334563397,-9999,-9999,1700,-9999,27.82,32.2,-64.5,Atlantic
Jenkins (1980),O2 + T/3He,0.182489126,-9999,-9999,1800,-9999,27.83,32.2,-64.5,Atlantic
Jenkins (1982),O2 + T/3He,7.516813983,1.260043962,1.260043962,200,-9999,26.45,27.16666667,-32.33333333,Atlantic
Jenkins (1982),O2 + T/3He,8.516159195,1.086244795,1.086244795,300,-9999,26.60,27.16666667,-32.33333333,Atlantic
Jenkins (1982),O2 + T/3He,7.343014816,1.216594171,1.216594171,400,-9999,26.80,27.16666667,-32.33333333,Atlantic
Jenkins & Goldman (1985),O2 (seasonal cycling),23.46288758,-9999,-9999,150,-9999,-9999,32.2,-64.5,Atlantic
Jenkins & Goldman (1985),O2 (seasonal cycling),16.94541881,-9999,-9999,200,-9999,-9999,32.2,-64.5,Atlantic
Jenkins & Goldman (1985),O2 (seasonal cycling),11.29694587,-9999,-9999,250,-9999,-9999,32.2,-64.5,Atlantic
Jenkins & Goldman (1985),O2 (seasonal cycling),13.46943546,-9999,-9999,300,-9999,-9999,32.2,-64.5,Atlantic
Jenkins & Goldman (1985),O2 (seasonal cycling),8.689958362,-9999,-9999,350,-9999,-9999,32.2,-64.5,Atlantic
Jenkins & Goldman (1985),O2 (seasonal cycling),6.517468772,-9999,-9999,400,-9999,-9999,32.2,-64.5,Atlantic
Jenkins (1987),O2 + T/3He,15.6,3.2,3.2,111,-9999,26.20,27.16666667,-32.33333333,Atlantic
Jenkins (1987),O2 + T/3He,14.4,1.7,1.7,138,-9999,26.35,27.16666667,-32.33333333,Atlantic
Jenkins (1987),O2 + T/3He,8.9,0.9,0.9,191,-9999,26.50,27.16666667,-32.33333333,Atlantic
Jenkins (1987),O2 + T/3He,9.6,1.0,1.0,258,-9999,26.62,27.16666667,-32.33333333,Atlantic
Jenkins (1987),O2 + T/3He,11,0.8,0.8,392,-9999,26.85,27.16666667,-32.33333333,Atlantic
Jenkins (1987),O2 + T/3He,7.6,0.6,0.6,614,-9999,27.15,27.16666667,-32.33333333,Atlantic
Jenkins (1987),O2 + T/3He,4.4,0.5,0.5,862,-9999,27.45,27.16666667,-32.33333333,Atlantic
Jenkins (1987),O2 + T/3He,1.12,0.29,0.29,1275,-9999,27.75,27.16666667,-32.33333333,Atlantic
Jenkins (1998),O2 + T/3He,17.5,1.4,1.4,160,-9999,26.4,28,-29,Atlantic
Jenkins (1998),O2 + T/3He,15,1.7,1.7,206,-9999,26.5,28,-29,Atlantic
Jenkins (1998),O2 + T/3He,12.5,1.4,1.4,245,-9999,26.6,28,-29,Atlantic
Jenkins (1998),O2 + T/3He,9.2,1.4,1.4,297,-9999,26.7,28,-29,Atlantic
Jenkins (1998),O2 + T/3He,6.8,1.4,1.4,346,-9999,26.8,28,-29,Atlantic
Jenkins (1998),O2 + T/3He,3.6,1.2,1.2,408,-9999,26.9,28,-29,Atlantic
Jenkins (1998),O2 + T/3He,2.6,1.2,1.2,477,-9999,27.0,28,-29,Atlantic
Jenkins (1998),O2 + T/3He,2.1,1.3,1.3,544,-9999,27.1,28,-29,Atlantic
Kadko (2009),O2 + 7Be,40.88,-9999,-9999,136.7,29.4,26.0-26.29,31.9,-64.3,Atlantic
Kadko (2009),O2 + 7Be,48.18,-9999,-9999,191.2,35,26.3-26.43,31.9,-64.3,Atlantic
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,20.3,-9999,-9999,-9999,-9999,26.492,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,14.9,-9999,-9999,-9999,-9999,26.509,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,12.1,-9999,-9999,-9999,-9999,26.519,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,10.6,-9999,-9999,-9999,-9999,26.599,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,9,-9999,-9999,-9999,-9999,26.593,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,7.1,-9999,-9999,-9999,-9999,26.599,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,6.1,-9999,-9999,-9999,-9999,26.684,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,5.6,-9999,-9999,-9999,-9999,26.756,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,4.7,-9999,-9999,-9999,-9999,26.794,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,7,-9999,-9999,-9999,-9999,26.816,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,6.8,-9999,-9999,-9999,-9999,26.831,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,5.3,-9999,-9999,-9999,-9999,26.832,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,5.5,-9999,-9999,-9999,-9999,26.855,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,6.1,-9999,-9999,-9999,-9999,26.86,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,5,-9999,-9999,-9999,-9999,26.856,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,4.5,-9999,-9999,-9999,-9999,26.87,-32,80,Indian
Karstensen & Tomczak (1998),O2 + CFC11 + CFC12 + OMP,4.8,-9999,-9999,-9999,-9999,26.881,-32,80,Indian
Karstensen et al. (2008),O2 + CFC11 + 14C,8.6,0.5,0.5,72,-9999,-9999,10,-25,Atlantic
